Numer VIN,Model,Rok produkcji,Paliwo,Typ nadwozia,Przebieg,Kolor,Poj. silnika,Stan techniczny,Skrzynia biegów,Kraj pochodzenia,Moc silnika,Napęd,Kierownica,Cena,Lokalizacja,Województwo,Tytuł,Rodzaj ogłoszenia,Znalezione o,Link,ID,Producent,Opis,Czy cena do negocjacji
WVWZZZ50ZMK016052,Corsa,2005,LPG,Hatchback,276,Czerwony,1229.0,Nieuszkodzony,Manualna,Polska,80.0,Na tylne koła,po lewej,5399.0,Tychy,Śląskie,Opel corsa 1.2 LPG,Prywatne,2025-04-27 21:24:59.143456,https://www.olx.pl/d/oferta/opel-corsa-1-2-lpg-CID5-ID15yuBr.html,998235305,Opel,"Na sprzedaż prywatne autko ze zdjęć przebieg 276k pojemność 1.2 80 koni auto nigdy mnie nie zawiodło spalanie gazu za 60 zł ok 330 km w aucie ostatnio robiony alternator, nowy akumulator na gwarancji, założone wielosezonowe opony Kleber, nowy reduktor gazu, zrobiony serwis gazu oraz nowy olej i filtry przejechane około 3 tys km auto prezentuje się tak jak na zdjęciach delikatnie schodzi klar z maski ale to nie przeszkadza w użytkowaniu auta cena do lekkiej negocjacji na miejscu sprzedaje jako osoba prywatna gdyż kupiłem nowsze auto
OC-24.05.2025
PT-09.05.2025",True
Kl1CF26FJ6B001026,Captiva,2006,Benzyna,SUV,296391,Czarny,2.0,Nieuszkodzony,Manualna,Polska,136.0,Na przednie koła,po lewej,14000.0,Tarnowskie Góry,Śląskie,Chevrolet Captiva,Prywatne,2025-04-27 21:25:29.176299,https://www.olx.pl/d/oferta/chevrolet-captiva-CID5-ID144u2b.html,976306943,Chevrolet,"Witam. Mam do sprzedania Caprice w benzynie i LPG,w dobrym stanie. Wszystko sprawne.
Nowa legalizacja butli LPG( nowa butla)
OC, oraz ważne badanie techniczne. Wszelkie informacje pod nr tel 51*******69",True
WV2ZZZ7HZ5H073422,Transporter,2005,Diesel,Minibus,372500,Biały,19.0,Nieuszkodzony,Manualna,Niemcy,105.0,Na przednie koła,po lewej,13900.0,Jelenia Góra Centrum,Dolnośląskie,Volkswagen Transporter T5,Prywatne,2025-04-27 21:25:40.573600,https://www.olx.pl/d/oferta/volkswagen-transporter-t5-CID5-ID15rjkn.html,996523667,Volkswagen,"Witam, sprzedam Volkswagena T5. Autem jeździłem kilka lat, odkupiłem je od Budowlańca jeszcze reklamy zostały, ja woziłem nim narzędzia w pracy. Auto nigdy mnie nie zawiodło nigdy nie było tak żeby stało u mechanika. Na tą chwile jest w nim kilka rzeczy do zrobienia: Piszczy pompa wspomagania, elektryka szyb głupieje raz działa raz nie działa, hamulec ręczny zaciski do wymiany koszt za 2 sztuki 250 zł no i tylne zawieszenie coś stuka. Poza tym wszystkie wymiany robione na bieżąco, świeżo wymienione oleje i klocki hamulcowe. Posiadam dwa komplety kół Lato/Zima.",True
WV2ZZZ7HZ5H073422,Seria 1,2007,Benzyna,Hatchback,242,Czarny,1995.0,Nieuszkodzony,Manualna,Niemcy,143.0,Na tylne koła,po lewej,11500.0,Wolbrom,Małopolskie,BMW seria 1 2.0 benzyna,Prywatne,2025-04-27 21:25:42.323007,https://www.olx.pl/d/oferta/bmw-seria-1-2-0-benzyna-CID5-ID15zz1o.html,998490618,BMW,"Witam,
Sprzedam prywatne BMW serii 1 z najlepszym silnikiem 2.0 w benzynie.
Autko u nas w domu od 8 lat zadbane bezwypadkowe wszystko robione na bieżąco oleje, filtry, klocki aktualny przebieg 242tys. W tamtym roku zmienialiśmy pompe wody. 2017r Bawara została odkupiona od kolegi tak że wiedzieliśmy co kupujemy. Zainteresowanym
wszelkie dodatkowe info udziele lelefonicznie 88*****24",False
WAUZZZ8T7EA051901,Crossover,2014,Diesel,Kombi,41000,Szary,400.0,Nieuszkodzony,Automatyczna,Francja,4.0,Na przednie koła,po lewej,29999.0,Malbork,Pomorskie,Crossover-Kubota-Kamera cofania-Transport Gratis 24H-!Duży Serwis !!,Firmowe,2025-04-27 21:26:29.835690,https://www.olx.pl/d/oferta/crossover-kubota-kamera-cofania-transport-gratis-24h-duzy-serwis-CID5-ID15oOLn.html,995929521,Aixam,"Autko po dużym serwisie ;4 nowe amortyzatory ,2xsworznie ,4 x nowe łożyska koła,świece NGK, roczne opony wielosezonowe .Gotowy do drogi

! Zarejestrowany w kraju !!

Zapraszamy do nas jesteśmy na rynku od 30 lat specjalizujemy się od 10 lat pojazdami typu Microcar Aixam JDM Grecav chatenet Ligier

SKUP MICROKARÓW -SPRZEDAŻ

Auto- Handel Muzalewski Firma Rodzina z tradycją od 30lat w branży samochodowej .

UWAGA AUTO ZAREJESTROWANE W KRAJU aktualny przegląd i Ubezpieczenie

Transport gratis na terenie Polski do 300km dostawa 24 h

Gwarancja Gethelp na 12mc w super cenie 999zł

Witam wszystkich państwa którzy marzą o swoich 4 kółkach ale nie posiadają prawa jazdy kat B1 ,nasza firma proponuje wspaniałe wyjście lepsze od skutera ale prawnie na tej samej zasadzie autkiem można jeździć od 14 lat na AM(uprawnienia motorower skuter Quad

Firma zapoznała się dokładnie z przepisami ruchu i ustawą i GWARANTUJEMY że tym autkiem poruszać się bez Prawa jazdy kat B1 od 14 roku życia

Aixam flagowy model marki Crossover XXL

Silnik bardzo ładnie pracuje niezawodna Kubota

Kat L6e -349kg

Rok produkcji 2014

Przed przyjazdem proszę potwierdzić wizytę .

Nie masz czasu na przyjazd do nas zamów samochód pod dom więcej informacji przez telefon .

Konkretnie odpowiem na każde pytanie na pewno na miejscu się nie rozczarujesz mówimy konkretnie o stanie auta na życzenie wysyłamy więcej foto danego modelu .
*Transport gratis dotyczy tylko wtedy kiedy cena nie ulega zmianie (bez negocjacji)

Tel ;Dział sprzedaży samochodów Rafał
609
213
561

Dział Sprzedaży części Marta
578
638
373
ID: 951329749",False
WF0EXXGBBEBK69235,A4,2009,Diesel,Sedan,379,Czarny,2997.0,Nieuszkodzony,Manualna,Niemcy,245.0,4x4 (stały),po lewej,17500.0,Skalbmierz,Świętokrzyskie,"Audi A4 B8 3.0TDI quattro do poprawek , sprawny",Prywatne,2025-04-27 21:29:59.491940,https://www.olx.pl/d/oferta/audi-a4-b8-3-0tdi-quattro-do-poprawek-sprawny-CID5-ID15tz4c.html,997060824,Audi,"Witam sprzedam Audi A4 B8 3.0 tdi quattro do poprawek , jezdzi dobrze , silnik bez wyciekow , kola 18 cali . Świeżo nabita klimatyzacja . Audi dosyc dobrze wyposazone min bang&olufsen , grzane fotele przod , bixenon, czujniki parkowania , szyberdach.

Zapraszam do kontaktu
602—885—968",True
WVGZZZ5NZNM007292,Grand Vitara,2002,Benzyna,Terenowy,273000,Niebieski,2.0,Nieuszkodzony,Manualna,Stany Zjednoczone,110.0,4x4 (dołączany ręcznie),po lewej,16000.0,Kutno,Łódzkie,Suzuki Grant Vitara 2.0,Prywatne,2025-04-27 21:30:17.391269,https://www.olx.pl/d/oferta/suzuki-grant-vitara-2-0-CID5-ID14Qzob.html,987767271,Suzuki,"2002 Suzuki Grand Vitara · Suv · Przebieg 273000 km
Witam chyba nie trzeba za bardzo przedstawiać tego auta. Sprzedam swoje prywatne trzecie w rodzinie auto ,Suzuki Grand Vitare 2002r poi.2.0 benzyna /gaz. Klima, reduktor, tempomat!. Napędy sprawne!. Serwisowane na bieżąco i na czas jak na leży. Jak na wiek na prawdę w nie złym stanie. Auto nie jest po świeżej konserwacji, jak większość aut, a raczej do :). Nie jest próchnem, widzisz co kupujesz. Chodź wiadomo nie jest ideałem zwłaszcza w swoim wieku. Wyślę filmik podwozia. Auto do obejrzenia 99-300 Kutno. Cena 16,000 zł do negocjacji ale bez przesady. Masz pytania dzwoń. Nie interesuje mnie zamiana!!!. Zapraszam 78*******95",True
WVWZZZAUZFP097505,Pozostałe volkswagen,1980,Diesel,Minibus,88004,Szary,1898.0,Nieuszkodzony,Manualna,Niemcy,68.0,Na tylne koła,po lewej,10400.0,Las Stocki,Lubelskie,VW T2 T3 9os. Rarytas 1980r sprawny jeżdżący,Prywatne,2025-04-27 21:30:36.342566,https://www.olx.pl/d/oferta/vw-t2-t3-9os-rarytas-1980r-sprawny-jezdzacy-CID5-ID15zVs5.html,998580685,Volkswagen,Witam mam do sprzedania fajnego klasyka który z roku na rok przybywa na wartości. Nie jest idealny i wymaga drobnych poprawek kosmetycznych. Ma aktualny przegląd oraz OC. Jest przeszklony i 9 osobowy. Chętnie odpowiem na wszystkie pytania pod nr tel podanym w ogłoszeniu.,True
VF70PHMZAEE510529,Megane,2003,Benzyna,Kombi,315,Inny kolor,1199.0,Nieuszkodzony,Manualna,Polska,82.0,Na przednie koła,po lewej,3500.0,Spytkówki,Wielkopolskie,Renault megane 2003,Prywatne,2025-04-27 21:30:40.020931,https://www.olx.pl/d/oferta/renault-megane-2003-CID5-ID15oidr.html,995804409,Renault,"Sprzedam Renault megane kombi 2003
r .benzyna 1.6.
Przegląd ważny do marca 2026r
Ubezpieczenie do sierpnia
.klima.cena do małej negocjacji.
auto cały czas w eksploatacji.
Więcej informacji priv.",True
,X5,2002,Diesel,SUV,335,Szary,3000.0,Nieuszkodzony,Automatyczna,Niemcy,122.0,4x4 (stały),po lewej,15000.0,Warszawa Wilanów,Mazowieckie,Do sprzedania BMW X5 e53 3.0d,Prywatne,2025-04-27 21:30:44.093633,https://www.olx.pl/d/oferta/do-sprzedania-bmw-x5-e53-3-0d-CID5-ID11X9II.html,945007888,BMW,"Mam do sprzedania BMW X5 E53, jest to najlepszy silnik 3.0d M57, samochód ma ekologia
Zamina",False
WF05XXGBB51G77208,Seria 5,2005,Diesel,Kombi,2000,Niebieski,2500.0,Nieuszkodzony,Automatyczna,Niemcy,190.0,Na tylne koła,po lewej,11500.0,Swarzędz,Wielkopolskie,bmw e61 525d automat,Prywatne,2025-04-27 21:31:08.797921,https://www.olx.pl/d/oferta/bmw-e61-525d-automat-CID5-ID15rqhg.html,996550382,BMW,"Sprzedam
BMW e61
Silnik 2.5d 177km na żeliwnym bloku
Rok prod 2005
Samochód pracuje bez zarzutu ,ma pełną moc,chodzi równo . Silnik pracuje wzorcowo, pali na dotyk nie kopci ma moc. Skrzynia pracuje pięknie. Technicznie wszystko ok prowadzi sie bardzo dobrze.
zawieszenia cos tam puka
OC 08-12-25
Preglad 11-12-25
cena 11500 zl
73*****23",True
W0L0AHL48A2137224,Vectra,2007,Diesel,Kombi,1,Czarny,1900.0,Nieuszkodzony,Manualna,Niemcy,150.0,Na przednie koła,po lewej,10000.0,Płock,Mazowieckie,mocny OPEL VECTRA C z kolor NAVI XENON climatronic rej PL,Prywatne,2025-04-27 21:31:24.324207,https://www.olx.pl/d/oferta/mocny-opel-vectra-c-z-kolor-navi-xenon-climatronic-rej-pl-CID5-IDYkfUa.html,891407862,Opel,"Witam , proponuję Państwu DUŻE wygodne autko jakim jest OPEL VECTRA C w fajnej wersji wyposażenia z dobrym mocnym silnikiem 1.9 CDTI
Uroku dodaje metaliczny CZARNY lakier z palety OPLA oraz ALUFELGI z oponami w stanie BDB.

Dodając do tego : wyprofilowane FOTELE , klimatyzację AUTOMATYCZNĄ 100% sprawną + pełną elektrykę , KOMPUTER POKŁADOWY pokazujący wszystkie parametry eksploatacyjne , DUŻĄ KOLOROWĄ NAWIGACJĘ ,wielofunkcyjną skórzaną kierownicę , TEMPOMAT , pakiet CHROM oraz wiele innych udogodnień mamy naprawdę fajny egzemplarz .

Silnik to MOCNA jednostka napędowa co pozwala na sprawne i BEZAWARYJNE PORUSZANIE SIĘ AUTEM. Pracuje równo i cicho nie ma z nim żadnych problemów.
W połączeniu z MANUALNĄ skrzynią biegów 6 jest bardzo KOMFORTOWY i ekonomiczny średnie spalanie w granicach 6L/100km. Rozrząd był wymieniany 2 lata temu przejechane ok 12 tys km.

Stan wizualny prezentują zdjęcia i jak na 19 lat myślę ze autko wygląda bardzo dobrze co ważne posiada oryginalny lakier na wszystkich elementach nadwozia i jest 100% bezwypadkowy.

Posiada ważne wszystkie opłaty, przegląd TECHNICZNY i ubezpieczenie OC ważne na rok, także auto jest gotowe do dalszej eksploatacji od zaraz.

Cena do negocjacji dla konkretnego nabywcy. Możliwa zamiana na inne auto lub motocykl

Więcej info pod nr tel

Pozdrawiam i zapraszam na jazdę próbną:)",True
W0L0AHL48A2137224,Trooper,1989,Diesel,Terenowy,347000,Zielony,2752.0,Nieuszkodzony,Manualna,Polska,95.0,4x4 (dołączany ręcznie),po lewej,14700.0,Samarzewo,Wielkopolskie,Isuzu trooper 2.8 TD,Prywatne,2025-04-27 21:31:28.940522,https://www.olx.pl/d/oferta/isuzu-trooper-2-8-td-CID5-ID15xufQ.html,997995638,Isuzu,Witam sprzedam Isuzu trooper jak na auto z 89 roku stan jest naprawdę godny nie ma rdzy dziur auto ma masę nowych części niedawno wymienionych silnik nie bierze oleju nie gotuje się pali na dotyk napędy sprawne posiadam jeszcze jednego tropera 2.8 na części kwestia dogadania najlepiej dzwonić odpowiem na każde pytanie,False
W0L0AHL48A2137224,Ranger,2007,Diesel,Pickup,223,Niebieski,2500.0,Nieuszkodzony,Manualna,Niemcy,143.0,4x4 (dołączany ręcznie),po lewej,23999.0,Kamienna Góra,Dolnośląskie,Ford Ranger XLT 2.5TDCi 2007r! 4x4! Reduktor! Klima,Prywatne,2025-04-27 21:31:35.572333,https://www.olx.pl/d/oferta/ford-ranger-xlt-2-5tdci-2007r-4x4-reduktor-klima-CID5-ID15jVlh.html,994767015,Ford,"Witam. Sprzedam świeżo sprowadzonego z Niemiec Forda Rangera z 2007r. Auto z silnikiem 2.5tdci oraz manulana skrzynia biegów! Napęd na 4kola oraz reduktor! Ranger w wersji XLT! Technicznie w super stanie! Napędy oczywiście sprawne! Wizualnie do lekkiej kosmetyki! Rama, podłoga oraz mocowania w bdb stanie! Auto z klimatyzacja! Ford odkupiony bezpośrednio od właściciela który użytkował go od nowości! Przebieg potwierdzony! Do samochodu posiadam kompletna dokumentację oraz komplet kluczy! Zapraszam do zakupu oraz na jazdę próbną!",False
WF0GXXGBBGAR04813,Golf,2008,Diesel,Kombi,375,Srebrny,1896.0,Nieuszkodzony,Manualna,Niemcy,140.0,Na przednie koła,po lewej,8900.0,Skwierzyna,Lubuskie,Volkswagen Golf 5 2008,Prywatne,2025-04-27 21:31:50.380252,https://www.olx.pl/d/oferta/volkswagen-golf-5-2008-CID5-ID15k4Rs.html,994799762,Volkswagen,"Witam mam na sprzedaż vw golf V z 2008 roku z silnikiem 1,9 tdi 105 km. Auto posiada przegalad na rok i ubezp do lipca . Samochód jeździ skręca hamuje. Auto cały czas jeździ wiec przebieg rośnie.",True
,Corsa,2008,Diesel,Hatchback,270,Srebrny,1248.0,Nieuszkodzony,Manualna,Polska,75.0,Na tylne koła,po lewej,6000.0,Czechy,Łódzkie,Opel Corsa 1.3 cdti eco flex 2008,Prywatne,2025-04-27 21:35:42.842428,https://www.olx.pl/d/oferta/opel-corsa-1-3-cdti-eco-flex-2008-CID5-ID15u44D.html,997180015,Opel,"Opel Corsa 1.3 Diesel | 2008 | 270 tys. km | Klimatyzacja | 7000 zł

Na sprzedaż Opel Corsa z 2008 roku z ekonomicznym silnikiem diesla 1.3 o mocy 55 kW (75 KM) i manualną skrzynią biegów. Auto pochodzi z polskiego salonu, jestem jego drugim właścicielem od 2019 roku.

Stan techniczny bardzo dobry – wszystkie naprawy i serwis wykonywane na bieżąco. Silnik pracuje równo, zawieszenie bez zastrzeżeń.
Wizualnie auto wymaga drobnych poprawek – m.in. widoczna rdza przy nadkolach.

Wyposażenie:

Klimatyzacja

Elektryczne szyby

Sterowanie radiem z kierownicy

Felgi

Przebieg: 270 000 km
Cena: 6000zł

Auto idealne jako codzienny środek transportu – oszczędne, tanie w eksploatacji i niezawodne.",True
KNADM511AC6721417,Rio,2011,Benzyna,Hatchback,162,Biały,1248.0,Nieuszkodzony,Manualna,Polska,85.0,Na przednie koła,po lewej,21600.0,Gilowice,Śląskie,sprzedam KIA RIO LPG 1.2 benzyna,Prywatne,2025-04-27 21:36:00.059959,https://www.olx.pl/d/oferta/sprzedam-kia-rio-lpg-1-2-benzyna-CID5-ID153SYy.html,990940826,Kia,"Sprzedam KIA RIO, poj. 1,2 benzyna +LPG (LPG firmy brc), bardzo ekonomiczny, samochód zadbany, garażowany. Wszystkie naprawy robione na bieżąco. Posiada radio android, kamerę cofania i wideo rejestrator, kierownica wielofunkcyjna. Ponadto, klimatyzacja, elektryczne szyby przednie. Więcej informacji pod nr 5 0 0 7 5 8 5 5 0",True
WDD2040491A610641,Croma,2008,Diesel,Hatchback,217,Czarny,1900.0,Nieuszkodzony,Manualna,Szwecja,150.0,Na przednie koła,po lewej,9300.0,Słupca,Wielkopolskie,"Fiat Croma 1.9M-jet 150KM+Chip Obniżony-Dystanse-Koła18""-217tys-km",Prywatne,2025-04-27 21:36:07.716991,https://www.olx.pl/d/oferta/fiat-croma-1-9m-jet-150km-chip-obnizony-dystanse-kola18-217tys-km-CID5-ID1584Yt.html,991940261,Fiat,"Sprzedam Fiat Croma 1.9M-Jet 150KM+Chip 2008rok z przebiegiem 217tys km. Silnik odpala i pracuje bardzo ładnie jest bardzo dynamiczny nie posiada wycieków średnie spalanie około 6 litrów na 100km. Sprzęgło i skrzynia pracują bez zastrzeżeń. Rozrząd wymieniony przy 195 tys. Zawieszenie jest obniżone ale nie twarde, koła 18 cali nic nie stuka. Układ hamulcowy w bardzo dobrym stanie. Więcej informacji pod nr telefonu 6/9/7/4/7/8/9/8/6",False
YV1DZA8CDH2034071,XC 60,2024,Benzyna,SUV,4500,Biały,2000.0,Nieuszkodzony,Automatyczna,Stany Zjednoczone,250.0,4x4 (stały),po lewej,199900.0,Siemiatycze,Podlaskie,Volvo 2024 XC 60 B5 2.0 250KM R-DESING Plus Dark AWD Panorama,Prywatne,2025-04-27 21:36:20.828751,https://www.olx.pl/d/oferta/volvo-2024-xc-60-b5-2-0-250km-r-desing-plus-dark-awd-panorama-CID5-ID15tFge.html,997084634,Volvo,"VOLVO XC60 z silnikiem benzynowym/miękka hybryda 2.0 o mocy 250KM wyposażony

w automatyczną 8-stopniową skrzynię biegów w wersji Plus Dark R-Design z roku 2024 z napędem

na 4 koła AWD !

Silnik B5 AWD mild hybrid 250 KM

Samochód w bardzo dobrym stanie technicznym i wizualnym.

ZAREJESTROWANY W POLSCE.

Wyposażenie prezentowanego egzemplarza:

WERSJA Plus Dark R-Design

Automatyczna skrzynia 8-biegowa,

Koła 20 cali

Tapicerka ze skóry

Układ monitorowania pasa ruchu

12-calowy wyświetlacz kierowcy

Regulowany elektrycznie fotel pasażera

Black Edition

Obudowy lusterek zewnętrznych, kolor czarny

Wykończenie szyb bocznych w czarnym błyszczącym kolorze

Relingi dachowe, czarne błyszczące

Funkcje wspomagające kierowcę

Elektrycznie składane lusterka zewnętrzne

System informacji o znakach drogowych

Reflektory LED

Tempomat

Automatycznie przyciemniane lusterka wsteczne

Układ monitorowania ciśnienia w oponach

System antykolizyjny

Adaptacyjne wspomaganie układu kierowniczego

Pióra wycieraczek ze zintegrowanymi spryskiwaczami

Tylne i przednie czujniki parkowania

System Kamer Park Assist

9-calowy wyświetlacz centralny

Czujnik deszczu

Roleta bagażnika, obsługiwana ręcznie

Listwa ochronna progu bagażnika, stal nierdzewna

8-stopniowa automatyczna skrzynia biegów Geartronic™, AWD

Napęd na wszystkie koła (AWD)

Technologia Start/Stop

Regulowany elektrycznie fotel kierowcy z funkcją pamięci

5 miejsc

Podparcie odcinka lędźwiowego regulowane elektrycznie w 4 kierunkach

Radio cyfrowe

System audio High Performance Harman Kardon

Przyciski sterowania na kierownicy

Łącze Bluetooth®

Dach panoramiczny

Tylny środkowy podłokietnik

Nakładki na progi Volvo, aluminiowe

Tapicerka ze skóry nappa/skóry ekologicznej/tekstylna w tonacji czerni

Autoalarm

Wyłącznik obwodu poduszki powietrznej pasażera

Kolanowa poduszka powietrzna, strona kierowcy

Automatyczna blokada zamków drzwi

Elektryczna blokada zabezpieczająca przed otwarciem przez dzieci

Światło hamowania awaryjnego

Klamki drzwi w kolorze nadwozia z oświetleniem podłoża

Trójkąt ostrzegawczy

Układ zmniejszający ryzyko urazu kręgosłupa szyjnego
Kurtyna powietrzna

Ochrona przed uderzeniem bocznym

unkty mocowania ISOFIX, tylne siedzenie

Dwustrefowy system klimatyzacji

System martwego pola

Kamery 360

Lakier biała perła 707

KONTAK 5×0×0#1-4,3+8^0%9",True
YV1DZA8CDH2034071,207,2007,Diesel,Kombi,250,Niebieski,1600.0,Nieuszkodzony,Manualna,Niemcy,90.0,Na przednie koła,po lewej,5999.0,Nowogard,Zachodniopomorskie,Peugot 207sw 1.6hdi 2007r panorama. Klimatyzacja .,Firmowe,2025-04-27 21:37:41.564918,https://www.olx.pl/d/oferta/peugot-207sw-1-6hdi-2007r-panorama-klimatyzacja-CID5-ID15AGxC.html,998757852,Peugeot,"Witam mam na sprzedaż samochód marki Peugeot 207sw 1.6hdi z 2007r

Stan autka uważam na bardzo dobry , wszystko w nim działa bez problemu .
Silnik chodzi dobrze, zawieszenie nic nie puka .
Cała elektryka działa

Wizualne do lekkich poprawek , dwie wgniotki na karoserii, zero rdzy.

Rozrząd robiony jakoś 20tys temu
Reszta robiona na bieżąco

Autko posiada
Hak
Dach panoramiczny
Klimatyzacja sprawna
El szyby
Radio CD
Komputer pokładowy
Isofix
I wiele więcej

Opłaty ważne , zapraszam na oględziny
Cena do negocjacji",True
VSSZZZ5FZJ6576015,Corvette,1974,Benzyna,Coupe,99999,Czerwony,5700.0,Nieuszkodzony,Manualna,Stany Zjednoczone,250.0,Na tylne koła,po lewej,46000.0,Poznań Jeżyce,Wielkopolskie,"1974 Corvette C3 5,7 smallblock, manual",Prywatne,2025-04-27 21:39:04.445962,https://www.olx.pl/d/oferta/1974-corvette-c3-5-7-smallblock-manual-CID5-ID14UlL0.html,988668182,Chevrolet,"1974 Corvette c3, 5,7 smallblock, manualna skrzynia biegów. Auto zarejestrowane, ubezpieczone, jeżdżące. W moim posiadaniu od ponad 5 lat.

plusy
- generalny remont silnika - dół i góra planowanie głowicy, prowadnice, uszczelniacze, honowanie cylindrów, pierścienie, panewki, co bardzo istotne i drogie
- wałek rozrządu i popychacze zmodyfikowane na rolkowe - auto po remoncie odebrane w grudniu 24r
- kompletnie odnowiony układ hamulcowy - zregenerowana pompa, przewody miedź i guma nowe, rozdzielacz nowy, zaciski, klocki i tarcze zregenerowane
- układ wydechowy - kolektor 421 stal reszta z kwaski, tłumiki stalowe z cutoutami elektrycznymi - obecnie cutouty odłączone
- dyferencjał - wymieniony cału środek na hevy duty ze szperą
- rama wyszczyszczona zakonserwowana kilka lat temu zdrowa bez rudej
- przednie sanki wzmocnione obspawane
- wywalona klima
- zregenerowany dwa miesiące temu alternator

minusy
- zniszczony lakier rysy odpryski pęknięcie z przodu na nosie
- gaźnik do czyszczenia i zapłon do regulacji po długim postoju
- tylny resor zmęczony
- przy otwieraniu i zamykaniu haczy przednia lewa lampa

Auto kupione przeze mnie w Polsce i jeżdżone wiele lat. Przez okres, który jeździłem wszystko robione na bieżąco. Dwa lata temu kiedy ogarnąłem wszystko pod spodem i z zawieszeniem zachciało mi się podnoszenia mocy. Skończyło się na 2 latach walki z mechanikami i finalnie kapitalnym remoncie silnika w 3 warsztacie oraz utopionym worku pieniędzy. Na wszystkie pytania odpowiem telefonicznie ale bądźmy poważni i szanujmy się nawzajem. Auto jest kompletne po remoncie a w cenie świerzo sprowadzonego do rejestracji. Nie grzeje się, nie poci, nie hałasuje ale gaźnik wymaga roboty, dlatego nie jestem w stanie powiedzieć czy dojedziesz nim do Rzeszowa - to jest stare auto.",True
VSSZZZ5FZJ6576015,Megane,2010,Diesel,Hatchback,234,Czarny,1500.0,Nieuszkodzony,Manualna,Stany Zjednoczone,80.0,Na tylne koła,po lewej,10700.0,Boguszów-Gorce,Dolnośląskie,Renault Megane III 1.5 dCi Zarejestrowane PL 2010 rok,Prywatne,2025-04-27 21:39:07.913426,https://www.olx.pl/d/oferta/renault-megane-iii-1-5-dci-zarejestrowane-pl-2010-rok-CID5-ID15ehxC.html,993418536,Renault,"Witam , sprzedam prywatny samochód Renault Megane 3 . Rok produkcji 2010. Dynamiczny i oszczędny silnik 1.5 dCi diesel . Autko w pełni sprawne technicznie . Przy przebiegu 230 tys wymienione kompletne sprzęgło dwumasa, filtry i oleje . Klimatyzacja sprawna .2 karty.Ważne OC i przegląd. Wizualnie auto posiada ślady użytkowania . Zapraszam do kontaktu okolice Wałbrzycha.",True
VSSZZZ5FZJ6576015,Fabia,2002,Benzyna,Sedan,185,Inny kolor,1397.0,Nieuszkodzony,Manualna,Czechy,50.0,Na przednie koła,po lewej,7000.0,Mielec,Podkarpackie,Skoda fabia 1.4 mpi,Prywatne,2025-04-27 21:39:09.805420,https://www.olx.pl/d/oferta/skoda-fabia-1-4-mpi-CID5-ID15A1Yh.html,998601901,Skoda,Witam do sprzedania skoda fabia z jednostką silnikową 1.4 MPI benzyna bsamochód dynamiczny prowadzi się bardzo dobrze.auto po wymianie rozrządu pompy wody i oleju opłaty ważne do przyszłego roku auto posiada centralny zamek elektryczne szyby przód dwa komplety kluczyków dokładam komplet zimówek na stalowych felgach stan bardzo.przebieg 198.000 zainteresowanych zapraszam do kontaktu 73*****43,True
VSSZZZ5FZJ6576015,Golf,2015,Benzyna,Hatchback,196300,Czerwony,2.0,Nieuszkodzony,Manualna,Niemcy,230.0,Na przednie koła,po lewej,51999.0,Wieliczka,Małopolskie,Volkswagen Golf 7 performance,Prywatne,2025-04-27 21:39:17.843044,https://www.olx.pl/d/oferta/volkswagen-golf-7-performance-CID5-ID13Mk1Y.html,971978586,Volkswagen,Mam do sprzedanie Volswagen Golf 7 performance rok 2015 autko fajnie się spisuje jest zadbane.,False
